Time (s),1. Current A(RMS) (1),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),0x0081_Unit_in_pre-operational  ,,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),0x0081_Low_batt  ,,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),0x0081_Supply_critical  ,,Time (s),1. Iq A (0.0625),,
481.6715,0,,481.6518,-0.3125,,481.6713,0.0,,481.6518,0.0,,481.6715,0,,481.6716,0.0,,,,,481.6713,108.875,,481.6713,31,,481.6715,0.0,,481.6716,0.0,,,,,481.6518,1.34375,,481.6518,0.0,,481.6716,0.0,,,,,481.6716,-1.0625,,
481.6915,0,,481.6718,-0.8125,,481.6913,0.0,,481.6718,0.0,,481.6915,0,,481.6916,0.0,,,,,481.6913,108.875,,481.6913,31,,481.6915,0.0,,481.6916,0.0,,,,,481.6718,1.3515625,,481.6718,0.0,,481.6916,0.0,,,,,481.6916,-1.9375,,
481.7115,0,,481.6917,-0.875,,481.7113,0.0,,481.6918,0.0,,481.7115,0,,481.7116,0.0,,,,,481.7113,108.9375,,481.7113,31,,481.7115,0.0,,481.7116,0.0,,,,,481.6917,1.34375,,481.6917,0.0,,481.7116,0.0,,,,,481.7116,-0.1875,,
481.7316,0,,481.7117,-0.8125,,481.7315,0.0,,481.7118,0.0,,481.7316,0,,481.7317,0.0,,,,,481.7315,108.9375,,481.7315,31,,481.7316,0.0,,481.7317,0.0,,,,,481.7117,1.3515625,,481.7117,0.0,,481.7317,0.0,,,,,481.7317,-0.1875,,
481.7516,0,,481.7318,0.1875,,481.7515,0.0,,481.7319,0.0,,481.7516,0,,481.7517,0.0,,,,,481.7515,109.0,,481.7515,31,,481.7516,0.0,,481.7517,0.0,,,,,481.7318,1.37890625,,481.7318,0.0,,481.7517,0.0,,,,,481.7517,0.0625,,
481.7716,0,,481.7518,-0.3125,,481.7715,0.0,,481.7519,0.0,,481.7716,0,,481.7717,0.0,,,,,481.7715,109.0,,481.7715,31,,481.7716,0.0,,481.7717,0.0,,,,,481.7518,1.32421875,,481.7518,0.0,,481.7717,0.0,,,,,481.7717,0.375,,
481.7916,0,,481.7718,0.1875,,481.7915,0.0,,481.7719,0.0,,481.7916,0,,481.7917,0.0,,,,,481.7915,109.0,,481.7915,31,,481.7916,0.0,,481.7917,0.0,,,,,481.7718,1.3515625,,481.7718,0.0,,481.7917,0.0,,,,,481.7917,1.5625,,
481.8116,0,,481.7918,1.25,,481.8115,0.0,,481.7919,0.0,,481.8116,0,,481.8117,0.0,,,,,481.8115,108.9375,,481.8115,31,,481.8116,0.0,,481.8117,0.0,,,,,481.7918,1.3671875,,481.7918,0.0,,481.8117,0.0,,,,,481.8117,1.25,,
481.8316,0,,481.8119,0.75,,481.8315,0.0,,481.8119,0.0,,481.8316,0,,481.8317,0.0,,,,,481.8315,108.9375,,481.8315,31,,481.8316,0.0,,481.8317,0.0,,,,,481.8119,1.34375,,481.8119,0.0,,481.8317,0.0,,,,,481.8317,-0.4375,,
481.8516,0,,481.8318,0.6875,,481.8515,0.0,,481.8319,0.0,,481.8516,0,,481.8517,0.0,,,,,481.8515,108.875,,481.8515,31,,481.8516,0.0,,481.8517,0.0,,,,,481.8318,1.31640625,,481.8318,0.0,,481.8517,0.0,,,,,481.8517,-1.0625,,
