Time (s),2. RPDO Target torque % of peak (0.1),,Time (s),2. RPDO Maximum motor speed RPM (1),,Time (s),2. Battery Voltage V (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),2. Torque demand value Nm (0.0625),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Velocity RPM (1),,Time (s),2. Velocity RPM (1),,Time (s),2. Torque % of peak (0.1),,Time (s),1. Max velocity - right motor RPM (1),,Time (s),1. RPDO statusword - right motor  (1),,Time (s),2. RPDO controlword  (1),,Time (s),1. RPDO Actual torque - right motor  (0.001),,Time (s),1. Target torque - right motor  (0.001),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),2. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),2. Battery Current A (0.0625),,Time (s),1. RPDO Velocity actual value - right motor RPM (1),,Time (s),2. Torque actual value Nm (0.0625),,Time (s),2. statusword  (1),,Time (s),1. controlword - right motor  (1),,Time (s),1. Iq A (0.0625),,
222.736,0.0,,222.736,800,,222.7182,106.125,,222.7362,-0.0625,,222.7181,0.0,,222.7361,0.0,,222.7361,31,,222.738,0,,222.738,0.0,,222.736,800,,222.738,1079,,222.736,1039,,222.738,0.0,,222.736,0.0,,222.7362,27,,222.7182,27,,222.7361,0.0,,222.7362,0.4375,,222.7182,0.0,,222.738,0,,222.7181,0.0,,222.738,1079,,222.736,1039,,222.7362,0.625,,
222.756,0.0,,222.756,800,,222.7382,106.0625,,222.7562,-0.0625,,222.7381,0.0,,222.7561,0.0,,222.7561,30,,222.758,0,,222.758,0.0,,222.756,800,,222.758,1079,,222.756,1039,,222.758,0.0,,222.756,0.0,,222.7562,27,,222.7382,27,,222.7561,0.0,,222.7562,2.1875,,222.7382,0.0,,222.758,0,,222.7381,0.0,,222.758,1079,,222.756,1039,,222.7562,0.625,,
222.776,0.0,,222.776,800,,222.7583,106.0,,222.7762,-0.0625,,222.7582,0.0,,222.7761,0.0,,222.7761,30,,222.778,0,,222.778,0.0,,222.776,800,,222.778,1079,,222.776,1039,,222.778,0.0,,222.776,0.0,,222.7762,27,,222.7583,27,,222.7761,0.0,,222.7762,0.875,,222.7583,0.0,,222.778,0,,222.7582,0.0,,222.778,1079,,222.776,1039,,222.7762,0.5,,
222.796,0.0,,222.796,800,,222.7782,106.0625,,222.7962,-0.0625,,222.7781,0.0,,222.7961,0.0,,222.7961,30,,222.798,0,,222.798,0.0,,222.796,800,,222.798,1079,,222.796,1039,,222.798,0.0,,222.796,0.0,,222.7962,27,,222.7782,27,,222.7961,0.0,,222.7962,1.5625,,222.7782,0.0,,222.798,0,,222.7781,0.0,,222.798,1079,,222.796,1039,,222.7962,-0.3125,,
222.816,0.0,,222.816,800,,222.7982,106.0625,,222.8162,-0.0625,,222.7981,0.0,,222.8161,0.0,,222.8161,29,,222.818,0,,222.818,0.0,,222.816,800,,222.818,1079,,222.816,1039,,222.818,0.0,,222.816,0.0,,222.8162,27,,222.7982,27,,222.8161,0.0,,222.8162,1.125,,222.7982,0.0,,222.818,0,,222.7981,0.0,,222.818,1079,,222.816,1039,,222.8162,-0.125,,
222.836,0.0,,222.836,800,,222.8182,106.125,,222.8363,-0.0625,,222.8181,0.0,,222.8361,0.0,,222.8361,29,,222.838,0,,222.838,0.0,,222.836,800,,222.838,1079,,222.836,1039,,222.838,0.0,,222.836,0.0,,222.8363,27,,222.8182,27,,222.8361,0.0,,222.8363,1.3125,,222.8182,0.0,,222.838,0,,222.8181,0.0,,222.838,1079,,222.836,1039,,222.8363,-1.75,,
222.856,0.0,,222.856,800,,222.8382,106.0625,,222.8562,-0.0625,,222.8381,0.0,,222.8561,0.0,,222.8561,28,,222.8581,0,,222.8581,0.0,,222.856,800,,222.8581,1079,,222.856,1039,,222.8581,0.0,,222.856,0.0,,222.8562,27,,222.8382,27,,222.8561,0.0,,222.8562,0.4375,,222.8382,0.0,,222.8581,0,,222.8381,0.0,,222.8581,1079,,222.856,1039,,222.8562,0.5625,,
222.876,0.0,,222.876,800,,222.8584,106.0625,,222.8763,-0.0625,,222.8583,0.0,,222.8761,0.0,,222.8761,28,,222.8781,0,,222.8781,0.0,,222.876,800,,222.8781,1079,,222.876,1039,,222.8781,0.0,,222.876,0.0,,222.8763,27,,222.8584,27,,222.8761,0.0,,222.8763,0.625,,222.8584,0.0,,222.8781,0,,222.8583,0.0,,222.8781,1079,,222.876,1039,,222.8763,-0.5,,
222.896,0.0,,222.896,800,,222.8784,106.0625,,222.8963,-0.0625,,222.8783,0.0,,222.8961,0.0,,222.8961,27,,222.8981,0,,222.8981,0.0,,222.896,800,,222.8981,1079,,222.896,1039,,222.8981,0.0,,222.896,0.0,,222.8963,27,,222.8784,27,,222.8961,0.0,,222.8963,0.6875,,222.8784,0.0,,222.8981,0,,222.8783,0.0,,222.8981,1079,,222.896,1039,,222.8963,-0.1875,,
222.916,0.0,,222.916,800,,222.8983,106.0625,,222.9162,-0.0625,,222.8982,0.0,,222.9161,0.0,,222.9161,27,,222.9181,0,,222.9181,0.0,,222.916,800,,222.9181,1079,,222.916,1039,,222.9181,0.0,,222.916,0.0,,222.9162,27,,222.8983,27,,222.9161,0.0,,222.9162,1.1875,,222.8983,0.0,,222.9181,0,,222.8982,0.0,,222.9181,1079,,222.916,1039,,222.9162,-0.75,,
